name,occupation,summary,birthday,deathday
Lee Aaker,Actor,The Adventures of Rin Tin Tin,25-Sep-1943,-
Aaliyah,Singer,"R&B singer, died in plane crash",16-Jan-1979,25-Aug-2001
Alvar Aalto,Architect,"Finnish modernist architect, furniture designer",03-Feb-1898,11-May-1976
Willie Aames,Actor,Tommy on Eight is Enough,15-Jul-1960,-
Kjetil André Aamodt,Skier,"Alpine skier, 8 Olympic medals",02-Sep-1971,-
Fred G. Aandahl,Politician,"Governor of North Dakota, 1945-50",09-Apr-1897,07-Apr-1966
Caroline Aaron,Actor,"Character actress, 1980s to present",07-Aug-1952,-
Hank Aaron,Baseball,Hit 755 home runs over his career,05-Feb-1934,-
Tommy Aaron,Golf,"Winner, 1973 Masters Tournament",22-Feb-1937,-
Sani Abacha,Head of State,"Dictator of Nigeria, 1993-98",20-Sep-1943,08-Jun-1998
Frank Abagnale,Criminal,Catch Me If You Can,27-Apr-1948,-
Diego Abatantuono,Actor,Mediterraneo,20-May-1955,-
Claudio Abbado,Conductor,"Conductor of La Scala, 1968-86",26-Jun-1933,-
Nicola Abbagnano,Philosopher,Italian existentialist,15-Jul-1901,09-Sep-1990
Abu Abbas,Terrorist,Masterminded the Achille Lauro hijacking,10-Dec-1948,09-Mar-2004
Ahmad Abbas,Novelist,The Last Page,07-Jun-1914,01-Jun-1987
Ferhat Abbas,Head of State,"President of Algeria, 1962-63",24-Oct-1899,23-Dec-1985
Cleveland Abbe,Physicist,America's first weatherman,03-Dec-1838,28-Oct-1916
Leon Abbett,Politician,Twice Governor of New Jersey,08-Oct-1836,04-Dec-1894
Edward Abbey,Author,Desert Solitaire,29-Jan-1927,14-Mar-1989
Edwin Abbey,Painter,American artist in London,01-Apr-1852,01-Aug-1911
Lynn Abbey,Author,Thieves World,1948,-
Watkins M. Abbitt,Politician,"Congressman from Virginia, 1948-73",21-May-1908,13-Jul-1998
Charles Greeley Abbot,Astronomer,Solar energy,31-May-1872,17-Dec-1973
Bud Abbott,Actor,Half of Abbott and Costello,02-Oct-1895,24-Apr-1974
Edwin A. Abbott,Author,Flatland,20-Dec-1838,12-Oct-1926
George Abbott,Playwright,Damn Yankees,25-Jun-1887,31-Jan-1995
Grace Abbott,Activist,Advocate against child labor,17-Nov-1878,19-Jun-1939
Jacob Abbott,Author,Franconia Stories,14-Nov-1803,31-Oct-1879
James A. Abbott,Business,"CEO of First Union Mortgage, 1980-94",c. 1945,-
Jim Abbott,Baseball,One-handed MLB pitcher,19-Sep-1967,-
John Abbott,Actor,The Woman in White,05-Jun-1905,24-May-1996
John Abbott,Head of State,"Prime Minister of Canada, 1891-93",12-Mar-1821,30-Oct-1893
Robert S. Abbott,Publisher,Chicago Defender,24-Nov-1868,29-Feb-1940
Wallace Calvin Abbott,Doctor,Founder of Abbott Laboratories,12-Oct-1857,04-Jul-1921
Dave Abbruzzese,Drummer,"Former drummer, Pearl Jam",17-May-1968,-
Gamal Abdel-Nasser,Head of State,"President of Egypt, 1956-70",15-Jan-1918,28-Sep-1970
Omar Abdel-Rahman,Criminal,The Blind Sheikh,03-May-1938,-
James Abdnor,Politician,"US Senator from South Dakota, 1981-87",13-Feb-1923,16-May-2012
Richard A. Abdoo,Business,"CEO of Wisconsin Energy, 1991-2004",c. 1943,-
Abdu'l-Bahá,Religion,Baha'i leader,23-May-1844,28-Nov-1921
Paula Abdul,Singer,"Singer, later American Idol judge",19-Jun-1962,-
Kareem Abdul-Jabbar,Basketball,"NBA records for most minutes, most points",16-Apr-1947,-
King Abdullah,Royalty,King of Saudi Arabia,01-Aug-1924,-
King Abdullah II,Royalty,King of Jordan,30-Jan-1962,-
Umar Farouk Abdulmutallab,Terrorist,Nigerian underwear bomber,22-Dec-1986,-
Shinzo Abe,Head of State,"Prime Minister of Japan, 2006-07",21-Sep-1954,-
Huma Abedin,Government,Aide to Hillary Clinton,1976,-
Niels Henrik Abel,Mathematician,Studied elliptics and hyperelliptics,05-Aug-1802,06-Apr-1829
Sid Abel,Hockey,"Detroit Red Wings, NHL Hall of Famer",22-Feb-1918,07-Feb-2000
Walter Abel,Actor,The Three Musketeers,06-Jun-1898,26-Mar-1987
Peter Abelard,Philosopher,French scholastic philosopher,1079,21-Apr-1142
John E. Abele,Business,Co-Founder of Boston Scientific,c. 1937,-
Arunah Shepherdson Abell,Publisher,The Baltimore Sun,10-Aug-1806,19-Aug-1888
Mark Abene,Hacker,Hacker Phiber Optik,1972,-
David Abercrombie,Business,Founder of Abercrombie & Fitch,06-Jun-1867,29-Aug-1931
Ian Abercrombie,Actor,Alfred Pennyworth on Birds of Prey,11-Sep-1934,26-Jan-2012
Neil Abercrombie,Politician,Governor of Hawaii,26-Jun-1938,-
Ralph Abercromby,Military,British general,07-Oct-1734,28-Mar-1801
Kathleen Q. Abernathy,Government,"FCC Commissioner, 2001-05",05-Jun-1956,-
Ralph Abernathy,Activist,Prominent civil rights activist,21-Mar-1926,17-Apr-1990
Robert E. Abernathy,Business,"Group President, Kimberly-Clark",1954,-
Bob Abernethy,Journalist,Former NBC News correspondent,05-Nov-1927,-
Walter Abish,Author,Alphabetical Africa,24-Dec-1931,-
John Abizaid,Military,"C-in-C, US Central Command, 2003-07",01-Apr-1951,-
Paul Ableman,Novelist,I Hear Voices,13-Jun-1927,25-Oct-2006
Philip J. Ablove,Business,"CFO of W. R. Berkley, 1973-83",c. 1940,-
James G. Abourezk,Politician,"US Senator from South Dakota, 1973-79",24-Feb-1931,-
Abraham,Religion,Father of the Abrahamic religions,c. 1813 BC,c. 1638 BC
Edward P. Abraham,Chemist,Cephalosporins,10-Jun-1913,08-May-1999
F. Murray Abraham,Actor,Mozart's antagonist in Amadeus,24-Oct-1939,-
John Abraham,Actor,Dhoom,17-Dec-1972,-
Spencer Abraham,Politician,"US Secretary of Energy, 2001-05",12-Jun-1952,-
Jim Abrahams,Film Director,Airplane!,10-May-1944,-
Jon Abrahams,Actor,Scary Movie,29-Oct-1977,-
Peter Abrahams,Novelist,Mine Boy,03-Mar-1919,-
Shirley S. Abrahamson,Judge,Wisconsin Chief Justice,17-Dec-1933,-
Norm Abram,TV Personality,"Master carpenter, This Old House",1950,-
Jack Abramoff,Government,Casino Jack,28-Feb-1958,-
Roman Abramovich,Business,Russian oligarch,24-Oct-1966,-
Max Abramovitz,Architect,Designed UN Headquarters,23-May-1908,12-Sep-2004
Morton I. Abramowitz,Diplomat,"US Ambassador to Turkey, 1989-91",20-Jan-1933,-
Dan Abrams,Journalist,NBC legal reporter,20-May-1966,-
Elliott Abrams,Government,Asst. Secy. of State involved in Iran-Contra,24-Jan-1948,-
Floyd Abrams,Attorney,First Amendment lawyer,09-Jul-1936,-
George S. Abrams,Attorney,"Partner, Winer & Abrams",c. 1932,-
J. J. Abrams,Film/TV Producer,Alias and Lost,27-Jun-1966,-
M. H. Abrams,Author,The Mirror and the Lamp,23-Jul-1912,-
Muhal Richard Abrams,Pianist,Levels and Degrees of Light,19-Sep-1930,-
Rachel Abrams,Activist,Conservative activist,?,-
Jerry Abramson,Politician,Mayor of Louisville,12-Sep-1946,-
Jill Abramson,Journalist,New York Times managing editor,19-Mar-1954,-
Leonard Abramson,Business,"Founder, US Healthcare",1932,-
Michael Abrash,Computer Programmer,Graphics Programming Black Book,?,-
Alexei A. Abrikosov,Physicist,"Particle physicist, explored superconductivity",25-Jun-1928,-
Victoria Abril,Actor,Tie Me Up! Tie Me Down!,04-Jul-1959,-
Dannie Abse,Poet,Ash on a Young Man's Sleeve,22-Sep-1923,-
Leo Abse,Politician,"Labour MP for Torfaen, 1983-87",22-Apr-1917,19-Aug-2008
David Abshire,Government,"US Ambassador to NATO, 1983-87",11-Apr-1926,-
Mumia Abu-Jamal,Criminal,"Black Panther, sentenced to death",23-Apr-1954,-
Bella Abzug,Politician,Feminist and former Congresswoman,24-Jul-1920,31-Mar-1998
Candice Accola,Actor,Caroline Forbes on The Vampire Diaries,13-May-1987,-
Johnny Ace,Singer/Songwriter,"R&B star, shot himself",09-Jun-1929,25-Dec-1954
Kirk Acevedo,Actor,"Oz, Law & Order: Trial by Jury",27-Nov-1974,-
Aníbal Acevedo-Vilá,Politician,"Governor of Puerto Rico, 2005-09",13-Feb-1962,-
Chinua Achebe,Novelist,Things Fall Apart,16-Nov-1930,-
David W. K. Acheson,Government,Food Safety Czar,?,-
Dean Acheson,Government,"US Secretary of State, 1949-53",11-Apr-1893,12-Oct-1971
Edward G. Acheson,Inventor,Discovered silicon carbide,09-Mar-1856,06-Jul-1931
William F. Achtmeyer,Business,"Partner, The Parthenon Group",c. 1955,-
André Aciman,Author,Out of Egypt,02-Jan-1951,-
Amy Acker,Actor,Fred on Angel,05-Dec-1976,-
Kathy Acker,Author,Blood and Guts in High School,18-Apr-1947,30-Nov-1997
Sharon Acker,Actor,Point Blank,02-Apr-1935,-
Arlene Ackerman,Government,School superintendent of San Francisco,1947,-
Bruce Ackerman,Scholar,We the People,19-Aug-1943,-
Diane Ackerman,Author,A Natural History of the Senses,07-Oct-1948,-
F. Duane Ackerman,Business,"CEO of Bellsouth, 1997-2006",1942,-
Forrest J. Ackerman,Author,Mr. Science Fiction,24-Nov-1916,04-Dec-2008
Gary Ackerman,Politician,"Congressman, New York 5th",19-Nov-1942,-
Joel Ackerman,Business,"Partner, Warburg Pincus",c. 1965,-
Robert Allan Ackerman,Film Director,Life with Judy Garland: Me and My Shadows,1945,-
Roger G. Ackerman,Business,"CEO of Corning, 1996-2000",c. 1938,-
Josef Ackermann,Business,CEO of Deutsche Bank,07-Feb-1948,-
Joss Ackland,Actor,White Mischief,29-Feb-1928,-
Jensen Ackles,Actor,Supernatural,01-Mar-1978,-
H. Gardner Ackley,Economist,"US Ambassador to Italy, 1968-69",30-Jun-1915,12-Feb-1998
Duane Acklie,Business,Crete Carrier Corporation,14-Nov-1931,-
Peter Ackroyd,Author,The Great Fire of London,05-Oct-1949,-
Art Acord,Actor,Cowboy actor,17-Apr-1890,04-Jan-1931
Rodolfo Acosta,Actor,Bandido,29-Jul-1920,07-Nov-1974
Manny Acta,Baseball,"Manager, Cleveland Indians",11-Jan-1969,-
Lord Acton,Historian,British historian,10-Jan-1834,19-Jun-1902
"A. Marshall Acuff, Jr.",Business,AMA Investment Counsel,c. 1940,-
Eddie Acuff,Actor,Mr. Beasley in Blondie,03-Jun-1903,17-Dec-1956
Roy Acuff,Country Musician,Country music pioneer,15-Sep-1903,23-Nov-1992
Francisco Javier Ramírez Acuña,Government,"Mexican Minister of the Interior, 2006-08",22-Apr-1952,-
Jason Acuña,Actor,Jackass dwarf,16-May-1973,-
King Ad-Rock,Rapper,Beastie Boys,31-Oct-1966,-
Charles E. Adair,Business,"Partner, Cordova Ventures",26-Dec-1947,-
Deborah Adair,Actor,The Young and the Restless,23-May-1952,-
E. Ross Adair,Politician,"Congressman from Indiana, 1951-71",14-Dec-1907,05-May-1983
Red Adair,Business,Extinguished oil well fires,18-Jun-1915,07-Aug-2004
Robert Adam,Architect,Scottish Neoclassical architect,03-Jul-1728,03-Mar-1792
Louis Adamic,Author,Laughing in the Jungle,23-Mar-1899,04-Sep-1951
Valdas Adamkus,Head of State,"President of Lithuania, 2004-09",03-Nov-1926,-
Abigail Adams,First Lady,Wife of US President John Adams,11-Nov-1744,28-Oct-1818
Alice Adams,Novelist,Superior Women,14-Aug-1926,27-May-1999
Amy Adams,Actor,Junebug,20-Aug-1974,-
Ansel Adams,Photographer,Yosemite photographer,20-Feb-1902,22-Apr-1984
Austin A. Adams,Business,"CIO at JP Morgan Chase, 2004-06",c. 1943,-
Babe Adams,Baseball,"Pitcher, Pittsburgh Pirates",18-May-1882,27-Jul-1968
"Brian ""Crush"" Adams",Wrestling,WWE wrestler,04-Apr-1964,13-Aug-2007
Brock Adams,Politician,"US Senator from Washington, 1987-93",13-Jan-1927,10-Sep-2004
Brooke Adams,Actor,Invasion of the Body Snatchers,08-Feb-1949,-
Brooks Adams,Historian,The Law of Civilization and Decay,24-Jun-1848,13-Feb-1927
Bryan Adams,Musician,Canadian Rocker,05-Nov-1959,-
Cecil Adams,Columnist,The Straight Dope,?,-
Charles Follen Adams,Poet,Leedle Yawcob Strauss,21-Apr-1842,08-Mar-1918
Charles Francis Adams IV,Business,Former president of Raytheon,02-May-1910,05-Jan-1999
"Charles Francis Adams, Jr.",Business,"President of Union Pacific, 1884-90",27-May-1835,20-May-1915
Charles Francis Adams,Diplomat,"US Ambassador to the UK, 1861-68",18-Aug-1807,21-Nov-1886
Charles Francis Adams III,Government,"Secretary of the Navy, 1929-33",02-Aug-1866,11-Jun-1954
Don Adams,Actor,Maxwell Smart on Get Smart,13-Apr-1926,25-Sep-2005
Douglas Adams,Author,Hitchhiker's Guide to the Galaxy,11-Mar-1952,11-May-2001
Edie Adams,Actor,Lover Come Back,16-Apr-1925,15-Oct-2008
Evan Adams,Actor,Smoke Signals,15-Nov-1966,-
Franklin Pierce Adams,Columnist,"New York columnist, The Conning Tower",15-Nov-1881,23-Mar-1960
Gerry Adams,Politician,President of Sinn Fein,06-Oct-1948,-
Harold L. Adams,Architect,"CEO of RTKL Associates, 1971-2002",c. 1939,-
Henry Adams,Historian,The Education of Henry Adams,16-Feb-1838,28-Mar-1918
Henry Carter Adams,Economist,Public Debts,31-Dec-1851,11-Aug-1921
Henry Cullen Adams,Politician,"Congressman from Wisconsin, 1903-06",28-Nov-1850,09-Jul-1906
Herbert Baxter Adams,Historian,Coined term political science,16-Apr-1850,30-Jul-1901
James R. Adams,Business,"CEO of Southwestern Bell, 1988-92",c. 1939,-
James Truslow Adams,Author,The Epic of America,18-Oct-1878,18-May-1949
Jane Adams,Actor,Dr. Mel Karnofsky on Frasier,01-Apr-1965,-
Joan Vollmer Adams,Victim,Common-law wife of William S. Burroughs,1924,06-Sep-1951
Joey Adams,Comic,Borscht Belt comedian,06-Jan-1911,02-Dec-1999
Joey Lauren Adams,Actor,Chasing Amy,06-Jan-1971,-
John Adams,Composer,Nixon in China,15-Feb-1947,-
John Adams,Head of State,2nd President of the U.S.,30-Oct-1735,04-Jul-1826
John Couch Adams,Astronomer,Discovered planet Neptune,05-Jun-1819,21-Jan-1892
John L. Adams,Business,"Vice Chairman of Trinity Industries, 2005-07",c. 1944,-
John Quincy Adams,Head of State,"6th US President, 1825-29",11-Jul-1767,23-Feb-1848
Jonathan Adams,Actor,Henry Walker on American Dreams,16-Jul-1967,-
Julie Adams,Actor,Paula Denning on Capitol,17-Oct-1926,-
Kathryn Adams,Actor,Sky Raiders,15-Jul-1920,-
Lee Adams,Songwriter,Bye Bye Birdie,14-Aug-1924,-
Léonie Adams,Poet,Those Not Elect,09-Dec-1899,27-Jun-1988
Louisa Adams,First Lady,Wife of US President John Quincy Adams,12-Feb-1775,15-May-1852
Mason Adams,Actor,Charlie Hume on Lou Grant,26-Feb-1919,26-Apr-2005
Maud Adams,Actor,Octopussy,12-Feb-1945,-
Maude Adams,Actor,"Stage actress, Peter Pan",11-Nov-1872,17-Jul-1953
Michael F. Adams,Educator,"President, University of Georgia",c. 1948,-
Nick Adams,Actor,Johnny Yuma on The Rebel,10-Jul-1931,07-Feb-1968
Noah Adams,Radio Personality,NPR senior correspondent,?,-
Oleta Adams,Singer,Get Here (If You Can),04-May-1962,-
Patch Adams,Doctor,Gesundheit! Institute,28-May-1945,-
Patrick J. Adams,Actor,Mike Ross on Suits,27-Aug-1981,-
Randall Adams,Victim,Innocent man in The Thin Blue Line,1949,-
Richard Adams,Author,Watership Down,09-May-1920,-
"Robert Adams, Jr.",Politician,"Congressman, committed suicide",26-Feb-1849,01-Jun-1906
Robin J. Adams,Business,CFO of BorgWarner,c. 1954,-
Roger Adams,Chemist,Organic chemist at Illinois,02-Jan-1889,06-Jul-1971
Ryan Adams,Singer/Songwriter,Heartbreaker,05-Nov-1974,-
Sam Adams,Politician,Mayor of Portland,03-Sep-1963,-
Samuel Adams,Politician,Brewer led the Boston Tea Party,27-Sep-1722,02-Oct-1803
Samuel Hopkins Adams,Journalist,The Great American Fraud,26-Jan-1871,15-Nov-1958
Sandy Adams,Politician,"Congresswoman, Florida 24th",14-Dec-1956,-
Scott Adams,Computer Programmer,Adventureland,c. 1954,-
Scott Adams,Cartoonist,"Creator, Dilbert",08-Jun-1957,-
Sherman Adams,Government,Eisenhower's Chief of Staff,08-Jan-1899,27-Oct-1986
W. Andrew Adams,Business,"Founder, National HealthCare Corp.",1945,-
Walter S. Adams,Astronomer,Long-time director of Mt. Wilson Observatory,20-Dec-1876,11-May-1956
William H. Adams III,Business,JABB Associates,c. 1958,-
William Taylor Adams,Author,Oliver Optic's Magazine,30-Jul-1822,27-Mar-1897
Yolanda Adams,Singer,"Gospel singer, Open My Heart",27-Aug-1962,-
Harold Adamson,Songwriter,Time on My Hands,10-Dec-1906,17-Aug-1980
Joy Adamson,Naturalist,Born Free,20-Jan-1910,03-Jan-1980
Stuart Adamson,Musician,Guitarist for The Skids and Big Country,11-Apr-1958,16-Dec-2001
Joe Adcock,Baseball,Milwaukee Braves First Baseman,30-Oct-1927,03-May-1999
Joseph P. Addabbo,Politician,"Congressman from New York, 1961-86",17-Mar-1925,10-Apr-1986
Charles Addams,Cartoonist,The Addams Family,07-Jan-1912,29-Sep-1988
Dawn Addams,Actor,A King in New York,21-Sep-1930,07-May-1985
Jane Addams,Activist,Founder of Hull House,06-Sep-1860,21-May-1935
Cannonball Adderley,Jazz Musician,Alto sax blower,15-Sep-1928,08-Aug-1975
Herb Adderley,Football,NFL Hall of Famer,08-Jun-1939,-
Terence E. Adderley,Business,Chairman of Kelly Services,01-Sep-1933,-
David Addington,Government,Dick Cheney's Chief of Staff,22-Jan-1957,-
Henry Addington,Head of State,"UK Prime Minister, 1801-04",30-May-1757,15-Feb-1844
Joseph Addison,Author,The Spectator,01-May-1672,17-Jun-1719
Paul T. Addison,Business,Salomon Smith Barney,c. 1946,-
Hugh J. Addonizio,Politician,"Mayor of Newark, 1962-70",31-Jan-1914,02-Feb-1981
Mark Addy,Actor,The Full Monty,14-Jan-1964,-
Wesley Addy,Actor,What Ever Happened to Baby Jane?,04-Aug-1913,31-Dec-1996
George Ade,Author,Fables in Slang,09-Feb-1866,16-May-1944
King Sunny Ade,Musician,King of juju,22-Sep-1946,-
Saif al-Adel,Terrorist,Al Qaeda embassy bomber,11-Apr-1960,-
Adele,Singer,Rolling In The Deep,05-May-1988,-
Ken Adelman,Diplomat,"Deputy US Ambassador to the UN, 1981-83",09-Jun-1946,-
Rick Adelman,Basketball,Minnesota Timberwolves coach,16-Jun-1946,-
Jay Adelson,Business,"CEO of Digg, 2004-10",07-Sep-1970,-
Sheldon Adelson,Business,Las Vegas billionaire,01-Aug-1933,-
Jonathan S. Adelstein,Government,FCC Commissioner,1962,-
Paul Adelstein,Actor,Prison Break,29-Apr-1969,-
Konrad Adenauer,Politician,"Chancellor of West Germany, 1949-61",05-Jan-1876,19-Apr-1967
Robert Aderholt,Politician,"Congressman, Alabama 4th",22-Jul-1965,-
Ilesanmi Adesida,Educator,"Dean, College of Engineering, UIUC",c. 1949,-
Patrick Adiarte,Actor,Prince Chulalongkorn in The King and I,02-Aug-1943,-
Isabelle Adjani,Actor,Camille Claudel,27-Jun-1955,-
Richard C. Adkerson,Business,CEO of Freeport-McMoRan,c. 1947,-
Hasil Adkins,Musician,Rockabilly one man band,29-Apr-1937,26-Apr-2005
Homer M. Adkins,Politician,"Governor of Arkansas, 1941-45",15-Oct-1890,26-Feb-1964
Rodney C. Adkins,Business,Senior VP at IBM,23-Aug-1958,-
Scott Adkins,Actor,Undisputed II and III,17-Jun-1976,-
Trace Adkins,Country Musician,Ladies Love Country Boys,13-Jan-1962,-
Alfred Adler,Psychologist,Founder of Individual Psychology,07-Feb-1870,28-May-1937
Allison Adler,Relative,Partner of Sara Gilbert,30-May-1967,-
Charles Adler,Actor,Voice of Buster Bunny,02-Oct-1956,-
Dean S. Adler,Business,Lubert-Adler Management,c. 1957,-
Felix Adler,Educator,Ethical Culture,13-Aug-1851,24-Apr-1933
Jay Adler,Actor,The Family Jewels,26-Sep-1896,23-Sep-1978
John Adler,Politician,"Congressman from New Jersey, 2009-11",23-Aug-1959,04-Apr-2011
Larry Adler,Musician,Mouth organ virtuoso,10-Feb-1914,06-Aug-2001
Lou Adler,Business,Dunhill and Ode Records,13-Dec-1933,-
Luther Adler,Actor,Broadway actor,04-May-1903,08-Dec-1984
Max Adler,Actor,Dave Karofsky on Glee,17-Jan-1986,-
Mortimer J. Adler,Philosopher,How to Read a Book,28-Dec-1902,28-Jun-2001
Renata Adler,Journalist,Gone: The Last Days of the New Yorker,19-Oct-1938,-
Richard Adler,Songwriter,Damn Yankees,03-Aug-1921,21-Jun-2012
Robert Adler,Physicist,Invented wireless remote control,04-Dec-1913,15-Feb-2007
Stella Adler,Actor,"Theater actress, Group Theater",10-Feb-1901,21-Dec-1992
Steven Adler,Drummer,Former Guns N' Roses drummer,22-Jan-1965,-
Pamela Adlon,Actor,Marcy on Californication,09-Jul-1966,-
Percy Adlon,Film Director,Bagdad Café,01-Jun-1935,-
Gerald S. Adolph,Business,Booz Allen Hamilton,c. 1954,-
Joe Adonis,Criminal,"Mafia boss, eventually deported",22-Nov-1902,26-Nov-1971
Renée Adorée,Actor,The Big Parade,30-Sep-1898,05-Oct-1933
Mario Adorf,Actor,The Tin Drum,08-Sep-1930,-
Theodor Adorno,Philosopher,Dialectic of Enlightenment,11-Sep-1903,06-Aug-1969
Ferrán Adrià,Chef,El Bulli,14-May-1962,-
Adrian,Fashion Designer,Head of wardrobe for Cecil B. DeMille,03-Mar-1903,13-Sep-1959
Pope Adrian I,Religion,"Roman Catholic Pope, 772-95",?,25-Dec-795 AD
Pope Adrian II,Religion,"Roman Catholic Pope, 867-72",792 AD,14-Dec-872 AD
Pope Adrian IV,Religion,"Roman Catholic Pope, 1154-59",c. 1100,01-Sep-1159
Pope Adrian VI,Religion,"Roman Catholic Pope, 1522-23",02-Mar-1459,14-Sep-1523
Edgar Adrian,Scientist,Electricity within nerve cells,30-Nov-1889,04-Aug-1977
Iris Adrian,Actor,Disney films,29-May-1912,17-Sep-1994
Scott Adsit,Actor,Pete Hornberger on 30 Rock,26-Nov-1965,-
Bhumibol Adulyadej,Head of State,King of Thailand,05-Dec-1927,-
Aenesidemus,Philosopher,Third skeptical school,fl. 1st c. BC,fl. 1st c. BC
Aeschylus,Playwright,Oresteia,c. 525 BC,c. 456 BC
Aesop,Author,Purported author of Fables,c. 620 BC,c. 560 BC
Isaias Afewerki,Head of State,President of Eritrea,02-Feb-1946,-
Ben Affleck,Actor,Good Will Hunting,15-Aug-1972,-
Casey Affleck,Actor,The Assassination of Jesse James,12-Aug-1975,-
Scipio Africanus,Military,Defeated Hannibal,236 BC,183 BC
Afu-Ra,Rapper,Whirlwind Thru Cities,c. 1973,-
Harsha V. Agadi,Business,Chairman of Quiznos,c. 1962,-
Herbert Agar,Journalist,The People's Choice,29-Sep-1897,24-Nov-1980
John Agar,Actor,Sands of Iwo Jima,31-Jan-1921,07-Apr-2002
Alex Agase,Football,"Head Coach at Northwestern, Purdue",27-Mar-1922,03-May-2007
Andre Agassi,Tennis,Winner of 8 Grand Slam singles,29-Apr-1970,-
Shai Agassi,Business,"Former executive, SAP",1968,-
Louis Agassiz,Paleontologist,Ichthyologist at Harvard,28-May-1807,14-Dec-1873
Robert M. Agate,Business,"CFO of Colgate-Palmolive, 1987-96",c. 1935,-
St. Agatha,Religion,Patron saint of Catania,?,5-Feb-251 AD
Agathias,Historian,On the Reign of Justinian,536 AD,582 AD
Pope Agatho,Religion,"Roman Catholic Pope, 678-81",c. 577 AD,10-Jan-681 AD
Agathocles,Military,Tyrant of Syracuse,361 BC,289 BC
Arthur Agatston,Doctor,The South Beach Diet,1947,-
Mehmet Ali Agca,Assassin,"In 1981, shot Pope John Paul II",09-Jan-1958,-
G. Steven Agee,Judge,4th Circuit Court of Appeals,12-Nov-1952,-
James Agee,Poet,A Death in the Family,27-Nov-1909,16-May-1955
Mary Cunningham Agee,Activist,The Nurturing Network,1951,-
Phil Agee,Spy,Inside the Company: CIA Diary,19-Jul-1935,07-Jan-2008
Steve Agee,Actor,The Sarah Silverman Program,26-Feb-1969,-
Keiko Agena,Actor,Lane Kim on Gilmore Girls,03-Oct-1973,-
Milton Ager,Songwriter,Ain't She Sweet,06-Oct-1893,06-May-1979
O. Rudolph Aggrey,Diplomat,"US Ambassador to Romania, 1977-81",24-Jul-1926,-
Shohreh Aghdashloo,Actor,House of Sand and Fog,11-May-1952,-
Gianni Agnelli,Business,"President of Fiat, 1966-96",12-Mar-1921,24-Jan-2003
Giovanni Agnelli,Business,Founder of Fiat,13-Aug-1866,16-Dec-1945
Roger Agnelli,Business,CEO of Companhia Vale do Rio Doce,03-May-1959,-
Umberto Agnelli,Business,"Chairman of Fiat, 2003-04",01-Nov-1934,27-May-2004
Maria Gaetana Agnesi,Mathematician,Instituzioni Analitiche,16-May-1718,09-Jan-1799
Agnetha Fältskog,Musician,ABBA,05-Apr-1950,-
Spiro T. Agnew,Politician,"US Vice President, 1969-73",09-Nov-1918,17-Sep-1996
Shmuel Agnon,Author,'Tmol Shilshom,17-Jul-1888,17-Feb-1970
Art Agnos,Politician,"Mayor of San Francisco, 1988-92",01-Sep-1938,-
Larry Agran,Politician,"Twice Mayor of Irvine, California",02-Feb-1945,-
Peter Agre,Biologist,Water channels of cell membranes,30-Jan-1949,-
Georg Agricola,Geologist,Father of Minerology,24-Mar-1490,21-Nov-1555
Cornelius Agrippa,Magician,Three Books of Occult Philosophy,14-Sep-1486,18-Feb-1535
Dianna Agron,Actor,Quinn Fabray on Glee,30-Apr-1986,-
Martin Agronsky,Journalist,Agronsky & Co.,12-Jan-1915,25-Jul-1999
Christina Aguilera,Singer,Genie in a Bottle,18-Dec-1980,-
Rick Aguilera,Baseball,"Former MLB Pitcher, Minnesota Twins",31-Dec-1961,-
Emilio Aguinaldo,Head of State,1st President of the Philippines,22-Mar-1869,06-Feb-1964
Eduardo Aguirre,Diplomat,US Ambassador to Spain,1946,-
Fernando Aguirre,Business,"President and CEO, Chiquita Brands",1958,-
Jenny Agutter,Actor,Jessica 6 in Logan's Run,20-Dec-1952,-
Bertie Ahern,Head of State,"Prime Minister of Ireland, 1997-2008",12-Sep-1951,-
Brian Aherne,Actor,I Confess,02-May-1902,10-Feb-1986
Allan Ahlberg,Author,"Juvenile author, The Jolly Postman",1938,-
Fred E. Ahlert,Composer,I'm Gonna Sit Right Down and Write Myself a Letter,19-Sep-1892,20-Oct-1953
Mahmoud Ahmad,Spy,Pakistani Intelligence chief gave Atta $100k,?,-
Mahmoud Ahmadinejad,Head of State,President of Iran,28-Oct-1956,-
"Howard Ahmanson, Jr.",Philanthropist,Reclusive fundamentalist-Christian philanthropist,03-Feb-1950,-
Roberta Green Ahmanson,Relative,Wife of Howard Ahmanson,1949,-
Iajuddin Ahmed,Head of State,President of Bangladesh,01-Feb-1931,-
Kamal Ahmed,Comic,Half of The Jerky Boys,07-May-1966,-
Philip Ahn,Actor,Early Korean-American actor,29-Mar-1905,28-Feb-1978
Mariella Ahrens,Actor,Maren Wolf in Sabine (German),02-Apr-1969,-
Martti Ahtisaari,Head of State,"President of Finland, 1994-2000",23-Jun-1937,-
Carlos Ahumada,Business,"Construction magnate, snared in bribery scheme",1964,-
Danny Aiello,Actor,The Last Don,20-Jun-1933,-
Clay Aiken,Singer,American Idol,30-Nov-1978,-
Conrad Aiken,Poet,Earth Triumphant,05-Aug-1889,17-Aug-1973
George Aiken,Politician,Governor and Senator from Vermont,20-Aug-1892,19-Nov-1984
Howard Aiken,Physicist,Designer of early computers,08-Mar-1900,14-Mar-1973
